scope,family,arm,n_dossiers,n_observations,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi,a_present_stage1,a_present_stage1_lo,a_present_stage1_hi,b_present_stage1_base,b_present_stage1_base_lo,b_present_stage1_base_hi,b_present_relay_input,b_present_relay_input_lo,b_present_relay_input_hi,b_present_stage2,b_present_stage2_lo,b_present_stage2_hi,stage1_compliant,stage1_compliant_lo,stage1_compliant_hi,stage2_compliant,stage2_compliant_lo,stage2_compliant_hi,overall_compliant,overall_compliant_lo,overall_compliant_hi
qa_eligible,llama,llama_ls,20,80,0.2875,0.1875,0.3875,0.341905,0.245,0.443988,0.3375,0.25,0.4375,1.0,1.0,1.0,0.3875,0.3125,0.4625,0.3875,0.3125,0.4625,0.3375,0.25,0.4375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qa_eligible,llama,llama_sl,20,80,0.3375,0.2625,0.4125,0.369583,0.283333,0.45375,0.35,0.275,0.425,0.9875,0.9625,1.0,0.3625,0.275,0.4375,0.3625,0.275,0.4375,0.35,0.275,0.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qa_eligible,llama,llama_sl_reopen,20,80,0.8875,0.825,0.95,0.94625,0.91249,0.977083,0.9875,0.9625,1.0,0.9875,0.9625,1.0,0.3625,0.2875,0.4375,1.0,1.0,1.0,0.9875,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qa_eligible,llama,llama_sl_restore,20,80,0.9,0.8375,0.9625,0.95875,0.932083,0.984167,1.0,1.0,1.0,0.9875,0.9625,1.0,0.3625,0.275,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qa_eligible,llama,llama_sl_sham,20,80,0.35,0.275,0.425,0.382083,0.295833,0.464583,0.3625,0.2875,0.4375,0.9875,0.9625,1.0,0.3625,0.275,0.4375,0.3625,0.2875,0.45,0.35,0.275,0.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qa_eligible,llama,llama_ss,20,80,0.2875,0.2125,0.3625,0.324405,0.245238,0.404167,0.3,0.225,0.375,0.9875,0.9625,1.0,0.3625,0.275,0.4375,0.3625,0.2875,0.4375,0.3,0.225,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qa_eligible,qwen,qwen_ll,20,80,0.3375,0.2625,0.4125,0.374583,0.29375,0.45375,0.3625,0.2875,0.45,1.0,1.0,1.0,0.3625,0.2875,0.45,0.3625,0.2875,0.45,0.3625,0.2875,0.45,1.0,1.0,1.0,0.825,0.725,0.9125,0.825,0.725,0.9125
qa_eligible,qwen,qwen_ls,20,80,0.325,0.25,0.4,0.368333,0.29,0.446677,0.35,0.275,0.4375,1.0,1.0,1.0,0.3625,0.2875,0.45,0.3625,0.2875,0.45,0.35,0.275,0.4375,1.0,1.0,1.0,0.9125,0.8625,0.9625,0.9125,0.8625,0.9625
qa_eligible,qwen,qwen_sl,20,80,0.3875,0.3,0.475,0.405,0.31625,0.4875,0.4,0.3125,0.475,0.9875,0.9625,1.0,0.4,0.3125,0.475,0.4,0.3125,0.475,0.4,0.3125,0.475,0.9875,0.9625,1.0,0.8125,0.7125,0.9,0.8125,0.725,0.9
qa_eligible,qwen,qwen_sl_reopen,20,80,0.8875,0.8125,0.95,0.94625,0.9125,0.976667,0.9875,0.9625,1.0,0.9875,0.9625,1.0,0.4,0.3125,0.475,1.0,1.0,1.0,0.9875,0.9625,1.0,0.9875,0.9625,1.0,1.0,1.0,1.0,0.9875,0.9625,1.0
qa_eligible,qwen,qwen_sl_restore,20,80,0.8875,0.825,0.95,0.94625,0.91125,0.976667,0.9875,0.9625,1.0,0.9875,0.9625,1.0,0.4,0.3125,0.475,0.9875,0.9625,1.0,0.9875,0.9625,1.0,0.9875,0.9625,1.0,0.9875,0.9625,1.0,0.9875,0.9625,1.0
qa_eligible,qwen,qwen_sl_sham,20,80,0.4,0.3,0.4875,0.41375,0.3225,0.5,0.4125,0.325,0.5,0.9875,0.9625,1.0,0.4,0.3125,0.475,0.4,0.3125,0.475,0.4,0.3125,0.475,0.9875,0.9625,1.0,0.8375,0.7375,0.925,0.8375,0.7375,0.925
qa_eligible,qwen,qwen_ss,20,80,0.375,0.2875,0.4625,0.3925,0.30625,0.475,0.3875,0.3,0.4625,0.9875,0.9625,1.0,0.4,0.3125,0.475,0.4,0.3125,0.475,0.3875,0.3,0.4625,0.9875,0.9625,1.0,0.9125,0.85,0.975,0.9125,0.85,0.975
