comparison,kind,treatment,control,from_depth,query_type,answerer_role,depth,metric,delta,lo,hi,p_value,n
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,6,f1,-0.01611111111111111,-0.08166666666666667,0.04166666666666667,0.6773,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,2,judge_correct,-0.05,-0.15,0.0,0.629,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,3,judge_correct,0.0,-0.15,0.15,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,4,judge_correct,0.0,-0.15,0.15,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,5,judge_correct,-0.05,-0.15,0.0,0.6186,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,primary,6,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,1,em,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,2,em,0.0,-0.25,0.25,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,3,em,0.0,-0.2,0.2,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,4,em,0.15,-0.1,0.4,0.3254,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,5,em,0.1,-0.1,0.3,0.4242,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,6,em,0.0,-0.15,0.15,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,1,f1,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,2,f1,0.005405982905982903,-0.14903846153846154,0.1469230769230769,0.9459,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,3,f1,0.0025000000000000022,-0.1525,0.1425,0.9655,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,4,f1,0.11944444444444446,-0.015555555555555555,0.2663888888888889,0.1016,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,5,f1,0.06840598290598292,-0.03309401709401708,0.19686752136752136,0.2503,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,6,f1,-0.010705128205128206,-0.11213942307692286,0.09166666666666667,0.8468,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,1,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,2,judge_correct,0.05,0.0,0.15,0.6186,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,3,judge_correct,0.05,0.0,0.15,0.6186,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,4,judge_correct,0.05,0.0,0.15,0.6186,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,5,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,target,secondary,6,judge_correct,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,1,em,0.0,0.0,0.0,1.0,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,2,em,-0.05,-0.15,0.0,0.6154,20
xfam_minus_homog_large,depth,xfam_large_fwd,homog_large_matched,,heldout,primary,3,em,0.2,0.05,0.4,0.0456,20
